"Enter your Wordpress URL:";"Introduzca el URL de su Wordpress."
"Click here to download our Wordpress plugin";"Haga clic para descargar nuestro plugin Wordpress."
"Loading categories";"Cargando tus categorías"
"We are sorry but our Wordpress plugin hasn't been detected on your website. Please be sure it is correctly installed and activated.";"Lo sentimos no hemos detectado nuestro plugin en su sitio Wordpress. Por favor, asegurese de que esta correctamente instalado y activado."
"Categories successfully saved";"Categorías guardadas correctamente."
"We are sorry but no category has been detected on your Wordpress website.";"Lo sentimos no hemos encontrado categorías en su sitio Wordpress."
"An error occurred while accessing your Wordpress website. Please, verify the domain name %s";"Un error ha surgido al acceder a su Wordpress. Por favor compruebe el dominio ingresado %s"
