"An error occurred while accessing your Wordpress website. Please, verify the domain name %s";"Si è verificato un errore durante il caricamento del Tuo sito Wordpress. Verifica il nome dominio %s"
"Categories successfully saved";"Categorie salvate correttamente"
"Click here to download our Wordpress plugin";"Clicca qui per scaricare il plugin Wordpress"
"Enter your Wordpress URL:";"Inserisci l'URL del tuo sito Wordpress:"
"Loading categories";"Caricamento categorie"
"We are sorry but no category has been detected on your Wordpress website.";"Siamo spiacenti , ma nessuna categoria è stata rilevata sul Tuo sito Wordpress ."
"We are sorry but our Wordpress plugin hasn't been detected on your website. Please be sure it is correctly installed and activated.";"Siamo spiacenti ma il nostro plugin Wordpress non è stato rilevato sul tuo sito web . Si prega di assicurarsi che sia installato correttamente e attivato"
