"Are you sure you want to close without saving?";"Sei sicuro di voler chiudere senza salvare?"
"Are you sure you want to delete this category and all its subcategories?";"Sei sicuro di voler cancellare questa categoria e tutte le sottocategorie?"
"Description";"Descrizione"
"Description successfully saved.";"Descrizione salvata correttamente"
"Manage Topics";"Gestisci Argomenti"
"No topics for now.";"Non ci sono Argomenti"
"Page description";"Descrizione pagina"
"Save";"Salva"
"Subscribe";"Aderisci"
