"An error occurred while accessing your Wordpress website. Please, verify the domain name %s";"Beim Zugriff auf Ihre Wordpress-Website ist ein Fehler aufgetreten. Bitte überprüfen Sie den Namen der Domäne %s"
"Categories successfully saved";"Kategorien erfolgreich gespeichert"
"Click here to download our Wordpress plugin";"Klicken Sie hier, um unsere Wordpress-Plugin zu downloaden"
"Enter your Wordpress URL:";"Geben Sie Ihre Wordpress-URL ein:"
"Loading categories";"Lädt Kategorien"
"We are sorry but no category has been detected on your Wordpress website.";"Es tut uns leid, aber jede Kategorie wurde auf Ihrem Wordpress-Website festgestellt."
"We are sorry but our Wordpress plugin hasn't been detected on your website. Please be sure it is correctly installed and activated.";"Es tut uns leid, aber unser Wordpress Plugin wurde nicht auf Ihren Webseiten entdeckt. Bitte konntrollieren sie die Installation und Aktivierung."
Wordpress;WordPress
