An error occurred while accessing your Wordpress website. Please, verify the domain name %s;Er is een fout opgetreden bij het openen van uw Wordpress website. Controleert de domeinnaam %s
Categories successfully saved;Categorieën succesvol opgeslagen
Click here to download our Wordpress plugin;Klik hier om onze WordPress plugin te downloaden
Enter your Wordpress URL:;Vul uw Wordpress URL in:
Loading categories;Categorieën Laden
We are sorry but no category has been detected on your Wordpress website.;Het spijt ons maar er zijn geen categorieën gedetecteerd op uw Wordpress website.
We are sorry but our Wordpress plugin hasn't been detected on your website. Please be sure it is correctly installed and activated.;Het spijt ons maar er is geen wordpress plugin gededekteerd op uw website. Zorg er voor dat de plugin goed is geinstaleerd op uw website
Wordpress;Wordpress
